"id_notice","real_words_strongs_in_notice","real_words_strongs_in_notice_number_appear","fake_words_strongs_in_notice","fake_words_strongs_in_notice_number_appear","notice_strong_words_real_total","notice_strong_words_fake_total","notice_strong_words_total","classe_notice"
172,"['alteracao', 'congresso', 'pagamento', 'proposto', 'sancao', 'sessao', 'situacao']","[1, 1, 1, 1, 1, 1, 1]","['sacar']","[1]",7,1,8,1
173,"['afastamento', 'apreensao', 'araujo', 'argumentar', 'cenario', 'colunista', 'decisao', 'decisao', 'destacar', 'forcatarefa', 'humberto', 'inquerito', 'inquerito', 'interlocutor', 'investigacao', 'investigacao', 'investigacao', 'justicar', 'martim', 'oficio', 'oficio', 'proferir', 'republico', 'republico', 'risco', 'supremo']","[1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 3, 3, 3, 1, 1, 2, 2, 1, 2, 2, 1, 1]","[]","[]",26,0,26,1
174,"['argumentar', 'autoridad', 'comissao', 'comissao', 'deslocamento', 'discussao', 'economia', 'especialment', 'governista', 'inquerito', 'periodo', 'presenciar', 'proposto', 'realizacao', 'realizacao', 'recurso', 'respostar', 'reuniao', 'saudar', 'sessao']","[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]","['tampouco']","[1]",20,1,21,1
178,"['companhia', 'ultimo']","[1, 1]","[]","[]",2,0,2,1
180,"['adversario', 'empatar', 'margem', 'mello', 'renata', 'rocha', 'souza']","[1, 1, 1, 1, 1, 1, 1]","['bandeiro']","[1]",7,1,8,1
181,"['circulacao', 'contemplar', 'curvo', 'destacar', 'possibilidad', 'primeiroministro', 'subir']","[1, 1, 1, 1, 1, 1, 1]","[]","[]",7,0,7,1
183,"['avancar', 'resolucao']","[1, 1]","['capturar', 'imagem', 'imagem', 'minutar']","[1, 2, 2, 1]",2,4,6,1
184,"['barroso', 'barroso', 'condenacao', 'conduta', 'globonew', 'julgamento', 'magistrado', 'ministrar', 'ministrar', 'urbano']","[2, 2, 1, 1, 1, 1, 1, 2, 2, 1]","['abusar']","[1]",10,1,11,1
186,"[]","[]","[]","[]",0,0,0,1
187,"['ambientar', 'avancar', 'reducao', 'restritivo', 'turista']","[1, 1, 1, 1, 1]","[]","[]",5,0,5,1
188,"['associacao', 'cardiologista', 'cenario', 'impacto', 'intubacao', 'intubacao', 'intubacao', 'levantamento', 'levantamento', 'prazo', 'privar', 'privar', 'situacao']","[1, 1, 1, 1, 3, 3, 3, 2, 2, 1, 2, 2, 1]","[]","[]",13,0,13,1
191,"['boletim', 'boletim', 'ricardo', 'ricardo']","[2, 2, 2, 2]","[]","[]",4,0,4,1
193,"['autoridad', 'calheiro', 'calheiro', 'converso', 'converso', 'internar', 'mdbal', 'prorrogacao', 'prorrogacao', 'recuperacao', 'saudar']","[1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1]","[]","[]",11,0,11,1
194,"['balancar', 'boletim', 'domingo', 'mudanca', 'planar', 'prever', 'saudar', 'saudar', 'suspeito', 'suspeito', 'vigilancia']","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1]","[]","[]",11,0,11,1
196,"['autoridad', 'crise', 'decisao', 'dificuldad', 'quarentenar', 'recurso', 'tendencia']","[1, 1, 1, 1, 1, 1, 1]","[]","[]",7,0,7,1
201,"['arthur', 'atrair', 'condicao', 'demrj', 'desgastar', 'lira', 'lira', 'palacio', 'planalto', 'presenca', 'reuniao', 'rossi']","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]","['legendar']","[1]",12,1,13,1
202,"['acumular', 'aglomeracao', 'aglomeracao', 'bandeirant', 'celebrar', 'celebrar', 'curvo', 'internacao', 'observar', 'palacio', 'quedo', 'relaxamento']","[1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1]","[]","[]",12,0,12,1
204,"['acumular', 'cnj', 'comparacao', 'crescimento', 'despesa', 'despesa', 'despesa', 'expansao', 'extraordinario', 'justicar', 'justicar', 'justicar', 'margem', 'margem', 'periodo', 'pratico', 'prever', 'regrar', 'subir', 'supremo', 'tesourar', 'variacao', 'variacao']","[1, 1, 1, 1, 3, 3, 3, 1, 1, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[]","[]",23,0,23,1
205,"['decisao', 'inicialment', 'portavoz', 'presenca', 'presenca', 'recuar']","[1, 1, 1, 2, 2, 1]","['filmar']","[1]",6,1,7,1
207,"['avancar', 'diagnosticar', 'epidemiar', 'estagio', 'estimativo', 'expressivo', 'intervalar', 'periodo', 'quedo', 'suspenso']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",10,0,10,1
210,"['autorizacao', 'coletivo', 'crise', 'decisao', 'possibilidad', 'preservacao', 'saudar', 'saudar', 'sindicato']","[1, 1, 1, 1, 1, 1, 2, 2, 1]","['greve']","[1]",9,1,10,1
211,"['folhar', 'imunizacao', 'imunizacao', 'integro', 'ministrar', 'planar', 'reforcar', 'saudar', 'sessao']","[1, 2, 2, 1, 1, 1, 1, 1, 1]","[]","[]",9,0,9,1
212,"['adhanom', 'adhanom', 'defendido', 'henriqu', 'ministrar', 'precaucao', 'saudar', 'saudar', 'tedro']","[2, 2, 1, 1, 1, 1, 2, 2, 1]","[]","[]",9,0,9,1
213,"['cepa', 'monitoramento', 'transmissao']","[1, 1, 1]","[]","[]",3,0,3,1
214,"['avancar', 'desenvolvimento', 'estagio', 'fase', 'flexibilizacao', 'planar', 'regiao']","[1, 1, 1, 1, 1, 1, 1]","[]","[]",7,0,7,1
216,"['decisao', 'opcao', 'opcao', 'possibilidad']","[1, 2, 2, 1]","['ganhar', 'ganhar', 'legendar']","[2, 2, 1]",4,3,7,1
218,"['desafiar', 'dosar', 'estimular', 'fase', 'instituto', 'ministrar', 'ministrar', 'palacio', 'parceria', 'saudar', 'saudar', 'saudar', 'saudar', 'saudar', 'superar']","[1, 1, 1, 1, 1, 2, 2, 1, 1, 5, 5, 5, 5, 5, 1]","[]","[]",15,0,15,1
219,"['paralisar', 'posicionamento', 'reuniao', 'reuniao', 'tornear', 'tornear']","[1, 1, 2, 2, 2, 2]","[]","[]",6,0,6,1
223,"['consolidar', 'domingo', 'epidemiologico', 'intensivo', 'internacao', 'patamar', 'quedo', 'quedo', 'regiao', 'saudar', 'taxar', 'tendencia']","[1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]","[]","[]",12,0,12,1
227,"['celso', 'favorito', 'federar', 'justicar', 'kassio', 'magistrado', 'mello', 'ministrar', 'regiao', 'supremo']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['ganhar']","[1]",10,1,11,1
231,"['funcionamento', 'necessario', 'situacao', 'transmissao']","[1, 1, 1, 1]","['clicar']","[1]",4,1,5,1
232,"['domingo', 'folhar', 'funcao', 'levantamento', 'margem', 'spaulo']","[1, 1, 1, 1, 1, 1]","[]","[]",6,0,6,1
